Progress,Duration (in seconds),Finished,subID,Bot 1,Bot 2,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,A Check 1,E1,E2,E3,E4,F1,F2,F3,F4,A Check 2,G1,G2,G3,G4,I1,I2,I3,I4,Q94,Q98,Q100
100,194,TRUE,50,Wednesday,May,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Disagree,Strongly agree,Woman,32,White/European
100,302,TRUE,51,Wednesday,May,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Somewhat agree,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Woman,52,White/European
100,277,TRUE,52,Wednesday,May,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Somewhat agree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Man,34,White/European
100,264,TRUE,53,Wednesday,May,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Disagree,Man,31,Black/African American
100,201,TRUE,54,Wednesday,May,Agree,Agree,Neither agree nor disagree,Strongly disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat disagree,Disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Somewhat agree,Somewhat disagree,Disagree,Strongly disagree,Man,40,White/European
100,271,TRUE,55,Wednesday,May,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Man,25,White/European
100,540,TRUE,56,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Man,33,White/European
100,569,TRUE,57,Wednesday,May,Agree,Disagree,Agree,Disagree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Agree,Disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Disagree,Somewhat agree,Disagree,Man,30,Asian/Pacific Islander
100,601,TRUE,58,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Strongly disagree,Man,58,White/European
100,510,TRUE,59,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Woman,39,White/European
100,631,TRUE,60,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Man,24,White/European
100,237,TRUE,61,Wednesday,May,Strongly agree,Somewhat disagree,Strongly agree,Disagree,Agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Disagree,Strongly agree,Disagree,Agree,Somewhat disagree,Agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Man,26,White/European
100,234,TRUE,62,Wednesday,May,Disagree,Disagree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Agree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Man,26,White/European
100,176,TRUE,63,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Woman,36,Asian/Pacific Islander
100,122,TRUE,64,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Man,25,White/European
100,441,TRUE,65,Wednesday,May,Agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Man,28,Hispanic/Latino
100,397,TRUE,66,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Somewhat agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Woman,47,White/European
100,355,TRUE,67,Wednesday,May,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Somewhat agree,Disagree,Strongly agree,Somewhat agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Man,33,White/European
100,312,TRUE,68,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Disagree,Agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Disagree,Man,55,White/European
100,321,TRUE,69,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Agree,Somewhat agree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Somewhat agree,Strongly disagree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Woman,63,White/European
100,772,TRUE,70,Wednesday,May,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Somewhat disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat agree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Woman,29,Black/African American
100,791,TRUE,71,Wednesday,May,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Woman,38,Asian/Pacific Islander
100,365,TRUE,72,Wednesday,May,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Woman,62,White/European
100,220,TRUE,73,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Man,31,White/European
100,246,TRUE,74,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Man,37,White/European
100,278,TRUE,75,Wednesday,May,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Woman,33,White/European
100,229,TRUE,76,Wednesday,May,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Man,72,White/European
100,461,TRUE,77,Wednesday,May,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Man,48,White/European
100,726,TRUE,78,Wednesday,May,Agree,Disagree,Agree,Disagree,Agree,Somewhat disagree,Disagree,Agree,Somewhat disagree,Agree,Agree,Somewhat disagree,Agree,Disagree,Disagree,Agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Man,29,White/European
100,213,TRUE,79,Wednesday,May,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Woman,38,Hispanic/Latino
100,799,TRUE,80,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Disagree,Agree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Man,36,White/European
100,879,TRUE,81,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Agree,Agree,Strongly disagree,Agree,Disagree,Woman,40,Hispanic/Latino
100,639,TRUE,82,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Man,28,Hispanic/Latino
100,865,TRUE,83,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Agree,Strongly disagree,Agree,Strongly disagree,Man,34,White/European
100,195,TRUE,84,Wednesday,May,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Man,30,Black/African American
100,987,TRUE,85,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Man,39,White/European
100,216,TRUE,86,Wednesday,May,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Man,25,White/European
100,185,TRUE,87,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Man,37,White/European
100,174,TRUE,88,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Man,35,White/European
100,256,TRUE,89,Wednesday,May,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Somewhat disagree,Agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Man,56,White/European
100,466,TRUE,90,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Man,46,Black/African American
100,269,TRUE,91,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Woman,32,White/European
100,724,TRUE,92,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Man,58,White/European
100,1087,TRUE,93,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Man,28,White/European
100,575,TRUE,94,Wednesday,May,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Man,44,White/European
100,266,TRUE,95,Wednesday,May,Agree,Somewhat disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Disagree,Man,35,White/European
100,195,TRUE,96,Wednesday,May,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Man,30,Black/African American
100,177,TRUE,97,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Man,27,White/European
100,305,TRUE,98,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Man,32,White/European
100,475,TRUE,99,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Man,32,White/European
100,773,TRUE,100,Wednesday,May,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Man,31,Hispanic/Latino
100,478,TRUE,101,Wednesday,May,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly disagree,Somewhat agree,Strongly disagree,Man,31,Black/African American
